date,close
2021/1/11,19.38
2021/1/12,19.44
2021/1/13,19.78
2021/1/14,19.94
2021/1/15,19.82
2021/1/18,19.96
2021/1/19,20.6
2021/1/20,20.28
2021/1/21,20.17
2021/1/22,19.66
2021/1/25,19.43
2021/1/26,19.35
2021/1/27,19.32
2021/1/28,19.57
2021/1/29,18.99
2021/2/1,18.69
2021/2/2,18.67
2021/2/3,18.31
2021/2/4,17.84
2021/2/5,17.91
2021/2/8,18.44
2021/2/9,18.55
2021/2/10,18.67
2021/2/18,19.1
2021/2/19,19.53
2021/2/22,19.16
2021/2/23,18.96
2021/2/24,18.93
2021/2/25,19.29
2021/2/26,19.3
2021/3/1,19.28
2021/3/2,19.19
2021/3/3,19.31
2021/3/4,19.46
2021/3/5,19.18
2021/3/8,19.09
2021/3/9,18.68
2021/3/10,18.27
2021/3/11,18.38
2021/3/12,18.49
2021/3/15,18.35
2021/3/16,18.71
2021/3/17,18.71
2021/3/18,18.71
2021/3/19,18.43
2021/3/22,18.55
2021/3/23,18.45
2021/3/24,18.58
2021/3/25,18.45
2021/3/26,18.6
2021/3/29,18.47
2021/3/30,18.31
2021/3/31,18.34
2021/4/1,18.4
2021/4/2,18.39
2021/4/6,18.42
2021/4/7,18.47
2021/4/8,18.39
2021/4/9,18.15
2021/4/12,18.34
2021/4/13,18.24
2021/4/14,18.33
2021/4/15,18.49
2021/4/16,19.7
2021/4/19,19.36
2021/4/20,20.15
2021/4/21,20.6
2021/4/22,20.16
2021/4/23,20.35
2021/4/26,20.17
2021/4/27,19.98
2021/4/28,20.18
2021/4/29,20.66
2021/4/30,20.58
2021/5/6,20.36
2021/5/7,18.89
2021/5/10,19.22
2021/5/11,21.14
2021/5/12,21.88
2021/5/13,22.57
2021/5/14,22.15
2021/5/17,22.05
2021/5/18,21.75
2021/5/19,21.2
2021/5/20,21.47
2021/5/21,21.16
2021/5/24,21.29
2021/5/25,21.3
2021/5/26,21.94
2021/5/27,21.78
2021/5/28,21.33
2021/5/31,21.69
2021/6/1,21.58
2021/6/2,21.62
2021/6/3,23.78
2021/6/4,22.01
2021/6/7,21.22
2021/6/8,23.02
2021/6/9,22.3
2021/6/10,22.59
2021/6/11,21.81
2021/6/15,21.71
2021/6/16,21.89
2021/6/17,21.72
2021/6/18,21.69
2021/6/21,22.26
2021/6/22,18.42
2021/6/23,18.15
2021/6/24,17.96
2021/6/25,18.28
2021/6/28,18.05
2021/6/29,17.91
2021/6/30,17.9
2021/7/1,18.77
2021/7/2,18.36
2021/7/5,18.81
2021/7/6,18.67
2021/7/7,18.55
2021/7/8,18.59
2021/7/9,18.76
2021/7/12,18.47
2021/7/13,19.37
2021/7/14,19.11
2021/7/15,19.64
2021/7/16,18.26
2021/7/19,17.23
2021/7/20,17.28
2021/7/21,17.11
2021/7/22,16.96
2021/7/23,16.52
2021/7/26,15.9
2021/7/27,15.41
2021/7/28,14.99
2021/7/29,15.14
2021/7/30,15.09
2021/8/2,15.24
2021/8/3,15.16
2021/8/4,15.17
2021/8/5,15.1
2021/8/6,14.96
2021/8/9,15.2
2021/8/10,15.77
2021/8/11,15.69
2021/8/12,15.69
2021/8/13,15.85
2021/8/16,15.78
2021/8/17,15.31
2021/8/18,15.42
2021/8/19,15.48
2021/8/20,15.26
2021/8/23,15.41
2021/8/24,15.45
2021/8/25,15.48
2021/8/26,15.3
2021/8/27,15.19
2021/8/30,15.14
2021/8/31,15.41
2021/9/1,15.59
2021/9/2,15.65
2021/9/3,15.92
2021/9/6,15.91
2021/9/7,15.82
2021/9/8,15.79
2021/9/9,15.84
2021/9/10,15.74
2021/9/13,15.59
2021/9/14,15.3
2021/9/15,15.17
2021/9/16,14.97
2021/9/17,15.07
2021/9/22,15.2
2021/9/23,15.5
2021/9/24,15.29
2021/9/27,15.08
2021/9/28,15.07
2021/9/29,15
2021/9/30,15.05
2021/10/8,15.12
2021/10/11,15.26
2021/10/12,15.14
2021/10/13,15.36
2021/10/14,15.37
2021/10/15,15.39
2021/10/18,15.37
2021/10/19,15.22
2021/10/20,15.26
2021/10/21,15.2
2021/10/22,15.25
2021/10/25,15.09
2021/10/26,15.02
2021/10/27,14.69
2021/10/28,14.55
2021/10/29,14.71
2021/11/1,14.75
2021/11/2,14.4
2021/11/3,14.4
2021/11/4,14.26
2021/11/5,14.27
2021/11/8,14.24
2021/11/9,14.23
2021/11/10,14.32
2021/11/11,14.54
2021/11/12,14.47
2021/11/15,14.58
2021/11/16,14.4
2021/11/17,14.43
2021/11/18,14.28
2021/11/19,14.45
2021/11/22,14.36
2021/11/23,14.31
2021/11/24,14.35
2021/11/25,14.27
2021/11/26,14.23
2021/11/29,14.09
2021/11/30,14.18
2021/12/1,14.25
2021/12/2,14.3
2021/12/3,14.33
2021/12/6,14.19
2021/12/7,14.25
2021/12/8,14.32
2021/12/9,14.54
2021/12/10,14.49
2021/12/13,14.7
2021/12/14,14.74
2021/12/15,14.91
2021/12/16,14.89
2021/12/17,15
2021/12/20,14.95
2021/12/21,15.18
2021/12/22,15.04
2021/12/23,14.72
2021/12/24,14.81
2021/12/27,14.67
2021/12/28,14.6
2021/12/29,14.95
2021/12/30,14.82
2021/12/31,14.87
2022/1/4,15.03
2022/1/5,15.07
2022/1/6,15.05
2022/1/7,15.13
2022/1/10,15.11
